Time,x,y
1732331334,987,621
1732331334,1029,617
1732331334,1105,603
1732331334,1222,573
1732331334,1286,562
1732331334,1460,515
1732331334,1591,473
1732331334,1684,447
1732331334,1728,429
1732331334,1758,414
1732331334,1776,397
1732331334,1795,380
1732331334,1812,360
1732331334,1830,346
1732331334,1843,334
1732331334,1852,329
1732331335,1894,310
1732331335,1901,300
1732331335,1900,290
1732331335,1887,288
1732331335,1877,292
1732331335,1851,313
1732331335,1830,322
1732331335,1752,345
1732331335,1634,381
1732331335,1475,432
1732331335,1296,484
1732331335,1130,508
1732331335,987,528
1732331335,843,540
1732331335,701,540
1732331335,583,540
1732331335,507,536
1732331335,472,526
1732331335,463,519
1732331335,462,509
1732331335,465,494
1732331335,481,476
1732331335,511,456
1732331335,638,418
1732331335,688,416
1732331335,804,423
1732331335,939,445
1732331336,1045,480
1732331336,1092,501
1732331336,1109,514
1732331336,1111,526
1732331336,1100,536
1732331336,1074,540
1732331336,1048,540
1732331336,1029,537
1732331336,1015,530
1732331336,1018,492
1732331336,1029,475
1732331336,1046,454
1732331336,1086,423
1732331336,1095,417
1732331336,1113,407
1732331336,1127,405
1732331336,1144,404
1732331336,1180,404
1732331336,1204,404
1732331336,1219,383
1732331336,1216,353
1732331336,1202,345
1732331336,1177,334
1732331336,1137,334
1732331336,1114,334
1732331336,1095,338
1732331336,1082,345
1732331337,1091,350
1732331337,1115,350
1732331337,1141,350
1732331337,1171,350
1732331337,1191,350
1732331337,1171,350
1732331337,1145,348
1732331337,1125,348
1732331337,1111,348
1732331337,1092,353
1732331337,1066,356
1732331337,1053,358
1732331337,1041,364
1732331337,1022,372
1732331337,997,384
1732331337,963,400
1732331337,930,409
1732331337,875,421
1732331337,855,424
1732331337,783,426
1732331337,841,421
1732331337,901,415
1732331337,987,403
1732331337,1062,390
1732331337,1103,384
1732331337,1076,392
1732331338,969,413
1732331338,693,425
1732331338,621,419
1732331338,606,417
1732331338,609,404
1732331338,625,393
1732331338,650,388
1732331338,684,394
1732331338,714,408
1732331338,722,419
1732331338,721,435
1732331338,712,445
1732331338,699,458
1732331338,691,468
1732331338,678,482
1732331360,984,619
1732331360,1019,623
1732331360,1045,624
1732331360,1070,621
1732331360,1095,606
1732331360,1143,591
1732331360,1237,563
1732331360,1336,527
1732331360,1403,492
1732331360,1449,469
1732331360,1475,453
1732331360,1485,434
1732331360,1488,413
1732331360,1480,393
1732331360,1456,374
1732331360,1425,359
1732331360,1388,344
1732331360,1336,333
1732331360,1258,321
1732331360,1169,318
1732331360,1095,331
1732331360,1013,355
1732331360,936,405
1732331360,893,454
1732331360,883,487
1732331360,889,501
1732331360,905,507
1732331360,939,507
1732331360,959,502
1732331360,1005,487
1732331360,1043,477
1732331360,1056,470
1732331360,1001,469
1732331360,889,461
1732331360,774,426
1732331361,669,377
1732331361,600,318
1732331361,561,264
1732331361,552,223
1732331361,554,185
1732331361,570,161
1732331361,601,149
1732331361,669,155
1732331361,769,178
1732331361,823,200
1732331361,926,251
1732331361,1029,305
1732331361,1134,371
1732331361,1195,425
1732331361,1212,460
1732331361,1214,494
1732331361,1194,526
1732331361,1153,548
1732331361,1100,553
1732331361,941,477
1732331361,910,430
1732331361,909,406
1732331361,914,385
1732331361,1007,335
1732331361,1093,323
1732331361,1122,323
1732331361,1172,324
1732331361,1201,330
1732331361,1217,339
1732331361,1226,347
1732331361,1238,350
1732331361,1251,347
1732331361,1263,342
1732331361,1276,335
1732331361,1325,320
1732331361,1359,317
1732331361,1379,317
1732331361,1393,317
1732331361,1405,317
1732331361,1422,351
1732331361,1429,365
1732331361,1435,374
1732331362,1448,397
1732331362,1462,415
1732331362,1481,436
1732331362,1491,443
1732331362,1504,452
1732331362,1526,473
1732331362,1555,489
1732331362,1564,483
1732331362,1566,471
1732331362,1571,462
1732331362,1583,457
1732331362,1603,446
1732331362,1632,433
1732331362,1652,419
1732331362,1669,399
1732331362,1681,381
1732331362,1694,368
1732331362,1701,356
1732331362,1708,338
1732331362,1713,321
1732331362,1718,311
1732331362,1727,295
1732331362,1744,275
1732331362,1760,251
1732331362,1773,229
1732331362,1780,212
1732331362,1785,202
1732331363,1775,204
1732331363,1774,214
1732331363,1773,224
1732331363,1773,236
1732331363,1786,236
1732331363,1805,233
1732331363,1820,232
1732331365,1797,245
1732331365,1766,263
1732331365,1731,280
1732331365,1662,302
1732331365,1555,320
1732331365,1435,327
1732331365,1421,327
1732331366,1408,327
1732331366,1395,328
1732331366,1378,328
1732331366,1344,326
1732331366,1255,309
1732331366,1212,304
1732331366,1181,298
1732331366,1131,296
1732331366,1108,297
1732331366,1088,298
1732331366,1069,302
1732331366,1044,310
1732331366,1030,315
1732331366,1009,322
1732331366,968,332
1732331366,933,347
1732331366,897,368
1732331366,860,385
1732331366,832,399
1732331366,808,412
1732331366,795,419
1732331366,786,434
1732331366,779,444
1732331366,774,457
1732331366,765,471
